CMDLINE C:\Python39\python.exe main.py
MEM 88.207031 1671224859.6229
MEM 88.207031 1671224859.7346
MEM 88.207031 1671224859.8453
MEM 88.207031 1671224859.9570
MEM 88.207031 1671224860.0672
MEM 88.207031 1671224860.1774
MEM 88.207031 1671224860.2890
MEM 88.207031 1671224860.3990
MEM 88.207031 1671224860.5098
MEM 88.207031 1671224860.6215
MEM 88.207031 1671224860.7332
MEM 88.207031 1671224860.8439
MEM 88.207031 1671224860.9546
MEM 88.207031 1671224861.0663
MEM 88.207031 1671224861.1770
MEM 88.207031 1671224861.2878
MEM 88.207031 1671224861.3995
MEM 88.207031 1671224861.5101
MEM 88.207031 1671224861.6218
MEM 88.207031 1671224861.7335
MEM 88.207031 1671224861.8436
MEM 88.207031 1671224861.9533
MEM 88.207031 1671224862.0651
MEM 88.207031 1671224862.1758
MEM 88.207031 1671224862.2867
MEM 88.207031 1671224862.3984
MEM 88.207031 1671224862.5091
MEM 88.207031 1671224862.6208
MEM 88.207031 1671224862.7315
MEM 88.207031 1671224862.8422
MEM 88.207031 1671224862.9529
MEM 88.207031 1671224863.0646
MEM 88.207031 1671224863.1753
MEM 88.207031 1671224863.2870
MEM 88.207031 1671224863.3988
MEM 88.207031 1671224863.5094
MEM 88.207031 1671224863.6212
MEM 88.207031 1671224863.7329
MEM 88.207031 1671224863.8429
MEM 88.207031 1671224863.9531
MEM 88.207031 1671224864.0628
MEM 88.207031 1671224864.1745
MEM 88.207031 1671224864.2862
MEM 88.207031 1671224864.3979
MEM 88.207031 1671224864.5086
MEM 88.207031 1671224864.6203
MEM 88.207031 1671224864.7320
MEM 88.207031 1671224864.8412
MEM 88.207031 1671224864.9529
MEM 88.207031 1671224865.0638
MEM 88.207031 1671224865.1755
MEM 88.207031 1671224865.2870
MEM 88.207031 1671224865.3978
MEM 88.207031 1671224865.5096
MEM 88.207031 1671224865.6213
MEM 88.207031 1671224865.7329
MEM 88.207031 1671224865.8436
MEM 88.207031 1671224865.9553
MEM 88.207031 1671224866.0670
MEM 88.207031 1671224866.1776
MEM 88.207031 1671224866.2893
MEM 88.207031 1671224866.4010
MEM 88.207031 1671224866.5113
MEM 88.207031 1671224866.6230
MEM 88.207031 1671224866.7347
MEM 88.207031 1671224866.8454
MEM 88.207031 1671224866.9557
MEM 88.207031 1671224867.0675
MEM 88.207031 1671224867.1775
MEM 88.207031 1671224867.2885
MEM 88.207031 1671224867.3990
MEM 88.207031 1671224867.5087
MEM 88.207031 1671224867.6204
MEM 88.207031 1671224867.7321
MEM 88.207031 1671224867.8428
MEM 88.207031 1671224867.9545
MEM 88.207031 1671224868.0662
MEM 88.207031 1671224868.1769
MEM 88.207031 1671224868.2886
MEM 88.207031 1671224868.4002
MEM 88.207031 1671224868.5109
MEM 88.207031 1671224868.6226
MEM 88.207031 1671224868.7344
MEM 88.207031 1671224868.8446
MEM 88.207031 1671224868.9554
MEM 88.207031 1671224869.0671
MEM 88.207031 1671224869.1779
MEM 88.207031 1671224869.2886
MEM 88.207031 1671224869.4002
MEM 88.207031 1671224869.5098
MEM 88.207031 1671224869.6215
MEM 88.207031 1671224869.7333
MEM 88.207031 1671224869.8439
