CMDLINE C:\Python39\python.exe main_noplayer.py
MEM 136.011719 1671323169.1787
MEM 136.011719 1671323169.2864
MEM 136.011719 1671323169.3991
MEM 136.011719 1671323169.5058
MEM 136.011719 1671323169.6165
MEM 136.011719 1671323169.7262
MEM 136.011719 1671323169.8369
MEM 136.011719 1671323169.9446
MEM 136.011719 1671323170.0563
MEM 136.011719 1671323170.1651
MEM 136.011719 1671323170.2723
MEM 136.011719 1671323170.3820
MEM 136.011719 1671323170.4907
MEM 136.011719 1671323170.6022
MEM 136.011719 1671323170.7114
MEM 136.011719 1671323170.8211
MEM 136.011719 1671323170.9328
MEM 136.011719 1671323171.0445
MEM 136.011719 1671323171.1532
MEM 136.011719 1671323171.2649
MEM 136.011719 1671323171.3756
MEM 136.011719 1671323171.4873
MEM 136.011719 1671323171.5980
MEM 136.011719 1671323171.7082
MEM 136.011719 1671323171.8209
MEM 136.011719 1671323171.9328
MEM 136.011719 1671323172.0385
MEM 136.011719 1671323172.1492
MEM 136.011719 1671323172.2609
MEM 136.011719 1671323172.3725
MEM 136.011719 1671323172.4832
MEM 136.011719 1671323172.5939
MEM 136.011719 1671323172.7046
MEM 136.011719 1671323172.8133
MEM 136.011719 1671323172.9240
MEM 136.011719 1671323173.0337
MEM 136.011719 1671323173.1444
MEM 136.011719 1671323173.2591
MEM 136.011719 1671323173.3648
MEM 136.011719 1671323173.4746
MEM 136.011719 1671323173.5888
MEM 136.011719 1671323173.6955
MEM 136.011719 1671323173.8056
MEM 136.011719 1671323173.9146
MEM 136.011719 1671323174.0243
MEM 136.011719 1671323174.1420
MEM 136.011719 1671323174.2457
MEM 136.011719 1671323174.3554
MEM 136.011719 1671323174.4661
MEM 136.011719 1671323174.5768
MEM 136.011719 1671323174.6865
MEM 136.011719 1671323174.7972
MEM 136.011719 1671323174.9079
MEM 136.011719 1671323175.0166
MEM 136.011719 1671323175.1263
MEM 136.011719 1671323175.2344
MEM 136.011719 1671323175.3416
MEM 136.011719 1671323175.4533
MEM 136.011719 1671323175.5630
MEM 136.011719 1671323175.6747
MEM 136.011719 1671323175.7844
MEM 136.011719 1671323175.8941
MEM 136.011719 1671323176.0048
MEM 136.011719 1671323176.1146
MEM 136.011719 1671323176.2283
MEM 136.011719 1671323176.3380
MEM 136.011719 1671323176.4483
MEM 136.011719 1671323176.5590
MEM 136.011719 1671323176.6707
MEM 136.011719 1671323176.7804
MEM 136.011719 1671323176.8906
MEM 136.011719 1671323176.9998
MEM 136.011719 1671323177.1085
MEM 136.011719 1671323177.2172
MEM 136.011719 1671323177.3269
MEM 136.011719 1671323177.4367
MEM 136.011719 1671323177.5474
MEM 136.011719 1671323177.6591
MEM 136.011719 1671323177.7678
MEM 136.011719 1671323177.8785
MEM 136.011719 1671323177.9889
MEM 136.011719 1671323178.0966
MEM 136.011719 1671323178.2080
MEM 136.011719 1671323178.3157
MEM 136.011719 1671323178.4249
MEM 136.011719 1671323178.5306
MEM 136.011719 1671323178.6413
MEM 136.011719 1671323178.7510
MEM 136.011719 1671323178.8608
MEM 136.011719 1671323178.9715
MEM 136.011719 1671323179.0822
MEM 136.011719 1671323179.1909
MEM 136.011719 1671323179.3016
